userid,edgeid,from,to,label,founder_status,date_start,date_end,degree,major,job_level,job_function,num_interactions,num_connections,host_role,investment_type,amount,last_updated,last_retrieved
2bae9e09-eae0-43ab-b942-61ca41b897c5,1f182eb5-c222-4b86-b627-5c4783dc483d,ccf45064-8aa1-4998-8586-873af49c2f2c,048c8010-eb8f-41a2-b64d-6dc0592c3c20,worked at,,2011-09-01 00:00:00.000000000,2015-09-01 00:00:00.000000000,,,manager,technical,,,,,,,2016-10-27 11:00:42.908366080
2bae9e09-eae0-43ab-b942-61ca41b897c5,d2b7991c-ca63-4cb5-92f3-7d21bbd6b4a4,ccf45064-8aa1-4998-8586-873af49c2f2c,0f19bfff-82a2-47c8-aaa0-6711be627fca,worked at,,2015-09-01 00:00:00.000000000,,,,c-level,technical,,,,,,,2016-10-27 11:00:42.908366080
2bae9e09-eae0-43ab-b942-61ca41b897c5,5dec6ea7-138c-4484-ab20-56ee11bb0cdf,ccf45064-8aa1-4998-8586-873af49c2f2c,d6da3630-1896-4317-adb6-ff394743c239,studied at,,,,,,,,,,,,,,2016-10-27 11:00:42.908366080
2bae9e09-eae0-43ab-b942-61ca41b897c5,50725666-d12b-4c51-a600-d448c7d659d7,ccf45064-8aa1-4998-8586-873af49c2f2c,73afdba3-e86f-4168-9684-c8fcb7804aa4,worked at,,2006-09-01 00:00:00.000000000,2011-09-01 00:00:00.000000000,,,analyst,technical,,,,,,,2016-10-27 11:00:42.908366080
2bae9e09-eae0-43ab-b942-61ca41b897c5,f0a6c564-7c13-420e-8dfd-f404071a22b7,ccf45064-8aa1-4998-8586-873af49c2f2c,dc170d56-4c64-4b05-a605-b5fff9af9657,studied at,,2003-09-01 00:00:00.000000000,2006-07-01 00:00:00.000000000,bachelor,computer science,,,,,,,,,2016-10-27 11:00:42.908366080
2bae9e09-eae0-43ab-b942-61ca41b897c5,92ba8d2d-8209-427f-8c11-f74982eba0af,ccf45064-8aa1-4998-8586-873af49c2f2c,e3a94dee-6f42-4b07-8196-958558c5615e,studied at,,2006-09-01 00:00:00.000000000,2009-06-01 00:00:00.000000000,master,business,,,,,,,,,2016-10-27 11:00:42.908366080
2bbdfd26-b21d-44f5-b8b8-4272385491dd,07ac4bdd-2e0d-47b6-8475-9f4d6502d68a,14329d95-65a6-4997-b1e5-b0a69b92b082,129acffc-d78d-48b1-a304-29bc9e09d1ed,mentored,,2013-01-01 00:00:00.000000000,,,,,,3.0,,,,,,2016-10-27 11:00:43.109470976
2bbdfd26-b21d-44f5-b8b8-4272385491dd,81f9d144-0978-4734-bdc5-976287bf46c4,14329d95-65a6-4997-b1e5-b0a69b92b082,923835cf-8439-4383-a8c4-52be21cd2f21,studied at,,2011-01-01 00:00:00.000000000,2016-12-01 00:00:00.000000000,bachelor,engineering,,,,,,,,,2016-10-27 11:00:43.109470976
2bbdfd26-b21d-44f5-b8b8-4272385491dd,e73b069f-28d8-45d9-87a9-f2d9745060d6,5cdb8dd5-70e1-4b45-bfec-e0adda696e13,14329d95-65a6-4997-b1e5-b0a69b92b082,mentored,,2013-01-01 00:00:00.000000000,,,,,,6.0,,,,,,2016-10-27 11:00:43.109470976
2bbdfd26-b21d-44f5-b8b8-4272385491dd,bd6f3e30-1e6c-4143-a07c-41398bdffb7d,d6e9760c-c41a-4680-b00e-c1f1c54743db,d0be1237-b110-4df7-8efe-2ca645228ade,founded,subsequent,2013-01-01 00:00:00.000000000,,,,,both,,,,,,,2016-10-27 11:00:43.109470976
2bbdfd26-b21d-44f5-b8b8-4272385491dd,95d5c012-847b-4483-8e7e-478208401747,14329d95-65a6-4997-b1e5-b0a69b92b082,d0be1237-b110-4df7-8efe-2ca645228ade,founded,,,,,,,technical,,,,,,,2016-10-27 11:00:43.109470976
2c07770e-a5dc-4fbe-b853-4757ef520df8,ba43eef0-77e3-4381-97cb-d2521e9444e0,dc11daa2-d2a3-4b4b-88d7-7fb0e1a133b9,45a9be8b-83ab-4118-8ed1-f661843f6e03,studied at,,2001-09-01 00:00:00.000000000,2006-06-01 00:00:00.000000000,bachelor,engineering,,,,,,,,,2016-10-27 11:00:43.354516992
2c07770e-a5dc-4fbe-b853-4757ef520df8,03362d39-fa66-41b6-a7a5-6974314cb148,3130c523-9209-4fe8-b3fe-29e5e7f39e9b,fea0868f-298e-4040-af88-6449ee240287,founded,,,,,,,both,,,,,,,2016-10-27 11:00:43.354516992
2c07770e-a5dc-4fbe-b853-4757ef520df8,2d46056c-fc0d-4386-98de-e6eda5bfbed0,dc11daa2-d2a3-4b4b-88d7-7fb0e1a133b9,b290829b-5692-42f0-a4a9-056956cb5e39,attended,,,,,,,,,25.0,,,,,2016-10-27 11:00:43.354516992
2c07770e-a5dc-4fbe-b853-4757ef520df8,b55dd0e2-fa06-4de3-959d-68570934a530,dc11daa2-d2a3-4b4b-88d7-7fb0e1a133b9,fea0868f-298e-4040-af88-6449ee240287,founded,subsequent,2016-03-01 00:00:00.000000000,,,,,business,,,,,,,2016-10-27 11:00:43.354516992
2c07770e-a5dc-4fbe-b853-4757ef520df8,123c8c3a-4ea8-4750-9316-06dd7676fa0c,dc11daa2-d2a3-4b4b-88d7-7fb0e1a133b9,e43612b9-6666-404a-87a5-76fb4d1540b2,worked at,,2006-07-01 00:00:00.000000000,2008-10-01 00:00:00.000000000,,,analyst,business,,,,,,,2016-10-27 11:00:43.354516992
2c07770e-a5dc-4fbe-b853-4757ef520df8,3fd226f3-b097-4df8-b91e-0af09b079202,7033d04d-ee24-40f1-a6d4-37f70c5384fd,fea0868f-298e-4040-af88-6449ee240287,invested in,,2016-03-01 00:00:00.000000000,,,,,,,,,equity,150000.0,,2016-10-27 11:00:43.354516992
2c07770e-a5dc-4fbe-b853-4757ef520df8,fab88214-5a3c-47a5-93b4-1af2376cdb6b,83c9244d-d81c-48e4-adad-104d349b4e6b,b290829b-5692-42f0-a4a9-056956cb5e39,hosted,,2015-12-01 00:00:00.000000000,2015-12-01 00:00:00.000000000,,,,,,,primary,,,,2016-10-27 11:00:43.354516992
2c07770e-a5dc-4fbe-b853-4757ef520df8,4e613790-fb36-4666-a02f-0678252dcb0b,b3ee6eb6-94a5-45b0-b207-b3e408856ee4,fea0868f-298e-4040-af88-6449ee240287,founded,,,,,,,business,,,,,,,2016-10-27 11:00:43.354516992
2c07770e-a5dc-4fbe-b853-4757ef520df8,5d5a2cda-4f8d-4884-8370-2debb1fbe734,dc11daa2-d2a3-4b4b-88d7-7fb0e1a133b9,a5f549d1-e22a-44d8-9c16-488fdaad3387,worked at,,2010-06-01 00:00:00.000000000,,,,c-level,business,,,,,,,2016-10-27 11:00:43.354516992
2c07770e-a5dc-4fbe-b853-4757ef520df8,80c5fe98-19eb-4ffa-96a7-8282cf74f456,50a7e554-31fe-410d-b4b0-60a692dfb8a1,fea0868f-298e-4040-af88-6449ee240287,invested in,,2016-03-01 00:00:00.000000000,,,,,,,,,equity,300000.0,,2016-10-27 11:00:43.354516992
2c07770e-a5dc-4fbe-b853-4757ef520df8,b944dcce-8442-40c3-8784-5f6343990743,dc11daa2-d2a3-4b4b-88d7-7fb0e1a133b9,59f51c7c-c8a5-4c06-b15c-21199e43c054,attended,,,,,,,,,25.0,,,,,2016-10-27 11:00:43.354516992
2c07770e-a5dc-4fbe-b853-4757ef520df8,15c38cc4-1c15-472a-a74d-dbc91f88299e,dc11daa2-d2a3-4b4b-88d7-7fb0e1a133b9,b2159741-8de5-4fdd-b4c2-f1982699fd45,worked at,,2008-10-01 00:00:00.000000000,2010-04-01 00:00:00.000000000,,,analyst,business,,,,,,,2016-10-27 11:00:43.354516992
2c14a2c8-0c2f-4300-8d17-f4821ff9b34a,0739f7c9-b29c-40fc-8b8a-3efee98095ad,cbff7c4c-432f-4b0a-83d6-b7b599ea7b1a,27c1557d-bf1a-403e-9285-eb9ece819d9e,attended,,,,,,,,,10.0,,,,,2016-10-27 11:00:43.790480896
2c14a2c8-0c2f-4300-8d17-f4821ff9b34a,bbe59f20-1648-4c26-8b53-9e500f4355af,cbff7c4c-432f-4b0a-83d6-b7b599ea7b1a,a60ab666-c168-4427-b9c9-9e504708d80c,founded,initial,,,,,,both,,,,,,,2016-10-27 11:00:43.790480896
2c14a2c8-0c2f-4300-8d17-f4821ff9b34a,fdd62a59-49c8-4fb5-a2c9-bf3cc9082d49,cbff7c4c-432f-4b0a-83d6-b7b599ea7b1a,36b6b55e-4b0a-4cd0-8ebe-5dce5bdbe3c8,studied at,,2007-06-01 00:00:00.000000000,2010-06-01 00:00:00.000000000,bachelor,computer science,,,,,,,,,2016-10-27 11:00:43.790480896
2c14a2c8-0c2f-4300-8d17-f4821ff9b34a,a057771f-4876-4421-a238-919f591bd5cb,1a7e8ab7-5f76-4fa4-9a8d-73a39935ad81,a60ab666-c168-4427-b9c9-9e504708d80c,accelerated/incubated,,2014-01-01 00:00:00.000000000,,,,,,,,,other,0.0,,2016-10-27 11:00:43.790480896
2c14a2c8-0c2f-4300-8d17-f4821ff9b34a,16eebdaf-17c2-4687-b720-9c98b877c867,242807a2-f92a-49f9-8f32-8d63426e624b,a60ab666-c168-4427-b9c9-9e504708d80c,founded,,,,,,,technical,,,,,,,2016-10-27 11:00:43.790480896
2c14a2c8-0c2f-4300-8d17-f4821ff9b34a,501e9277-7c97-4ae1-8183-893993bde9fa,cbff7c4c-432f-4b0a-83d6-b7b599ea7b1a,3e9d8e30-f7a1-413c-8e2a-99b46f1867a0,mentored,,2016-01-01 00:00:00.000000000,,,,,,4.0,,,,,,2016-10-27 11:00:43.790480896
2c14a2c8-0c2f-4300-8d17-f4821ff9b34a,1ba8044b-f6c3-4254-b146-1ca0253dbfcf,477aac4f-9520-46f5-b037-617aa8dfe15a,cbff7c4c-432f-4b0a-83d6-b7b599ea7b1a,mentored,,2014-05-01 00:00:00.000000000,,,,,,8.0,,,,,,2016-10-27 11:00:43.790480896
2c3fbdda-2e1e-4c66-8164-7926efd9903f,7d592bcc-96bb-4702-bae4-f524798298a0,d0589f34-361c-4e90-b886-b3eead567e22,6f4af2b5-5be5-4233-bf2a-745f5a6beb8a,hosted,,2016-05-01 00:00:00.000000000,2016-05-01 00:00:00.000000000,,,,,,,secondary,,,,2016-10-27 11:00:44.095248896
2c3fbdda-2e1e-4c66-8164-7926efd9903f,533f7403-3909-42bb-8318-280ae8ee073a,aa39030f-4525-466d-ac57-45d762f4074e,5bd14f7d-f851-44e7-aafd-9dd5720fb7b7,mentored,,2016-06-01 00:00:00.000000000,,,,,,3.0,,,,,,2016-10-27 11:00:44.095248896
2c3fbdda-2e1e-4c66-8164-7926efd9903f,fdda8cfd-a575-40eb-81d9-53b70ded9b60,0afda009-6a30-41bb-8570-cf65207ce6a9,3cf2f433-b126-44da-afc6-e92d8e927804,founded,,,,,,,both,,,,,,,2016-10-27 11:00:44.095248896
2c3fbdda-2e1e-4c66-8164-7926efd9903f,ce8d701c-0d77-49f9-b2c7-79aeb533b79e,5bd14f7d-f851-44e7-aafd-9dd5720fb7b7,6f4af2b5-5be5-4233-bf2a-745f5a6beb8a,attended,,,,,,,,,12.0,,,,,2016-10-27 11:00:44.095248896
2c3fbdda-2e1e-4c66-8164-7926efd9903f,34ce8b6d-4836-4ab8-b6f0-45ed1901e59d,5bd14f7d-f851-44e7-aafd-9dd5720fb7b7,3cf2f433-b126-44da-afc6-e92d8e927804,founded,subsequent,2014-02-01 00:00:00.000000000,,,,,business,,,,,,,2016-10-27 11:00:44.095248896
